X, Y,startTime
1848.979008,1175.383421,8.0456
1839.124082,1161.149127,34.3974
1812.072167,1139.109616,64.0801
1815.105071,1127.380962,94.9068
1822.146541,1133.012892,126.0988
1852.368129,1169.914714,154.4562
1851.443598,1179.812416,184.9997
1891.351136,1211.246129,215.464
2067.23156,1193.155863,245.9626
2075.749761,1180.910636,276.2545
2073.209595,1191.651649,306.0642
2077.592294,1179.252474,336.8482
2078.15482,1160.287775,368.4099
2045.014731,1141.78738,396.7854
2043.653027,1702.783156,666.2275
2238.161006,977.1234045,697.7164
2001.179788,1073.313832,728.3018
2073.602968,1121.349486,758.5941
2106.611776,1145.389025,789.2512
2222.715744,1120.538342,819.664
2244.16683,1116.274943,850.4781
2242.269275,1111.188822,880.9197
2280.92888,1143.551033,911.7552
2283.182386,1150.991215,940.8634
2303.939261,1145.46284,971.1724
2304.01422,1128.886357,1002.9589
2279.296135,1113.127017,1031.1209
2279.665889,1127.338532,1061.2962
2281.714553,1142.248162,1091.2866
2296.074794,1169.290905,1121.9638
2296.242769,1169.071279,1151.787
2039.69809,1165.968199,1184.071
2002.567323,1200.876259,1212.7987
2002.310775,1183.838986,1242.0499
2002.864108,1190.170425,1273.0886
2002.801624,1168.011103,1304.3137
2002.789169,1197.03251,1333.5786
2000.447854,1188.870272,1363.5834
1987.460984,1214.054216,1393.6522
2019.487874,1200.817602,1423.8715
2167.039489,1248.494264,1454.1958
2183.629671,1265.254948,1486.3899
2197.636588,1291.175548,1514.9844
2181.127232,1291.001453,1544.664
2176.977753,1290.033228,1574.9
2177.909278,1289.157511,1605.8981
2192.049188,1269.82469,1635.6955
2192.378648,1269.360758,1665.5758
1441.479053,1230.24124,1695.5829
1329.947982,1224.139437,1725.9873
1320.175131,1226.45351,1756.1237
1316.801406,1224.988691,1787.5395
1321.122033,1219.321748,1816.6135
1316.294204,1202.410197,1848.2549
1319.556382,1196.916084,1877.6306
1315.61498,1203.050149,1907.0034
1319.361484,1207.23317,1937.009
1791.432597,1187.831172,1967.8096
1831.994058,1197.515908,2000.4029
1835.386485,1210.673495,2028.4155
1837.440074,1198.77577,2058.4462
1839.208404,1207.951207,2090.1278
1824.702499,1242.956683,2119.5872
1827.493035,1246.493532,2150.188
1824.127229,1237.136177,2179.8832
1834.657905,1226.831789,2209.2809
1893.100245,1238.995531,2239.8741
2083.781919,1257.622347,2270.0144
2098.661727,1280.50027,2299.9404
2104.349793,1277.85505,2330.5441
2084.188597,1305.782052,2360.4746
2081.388871,1291.02044,2391.1023
2086.157799,1261.401131,2420.8253
2094.964406,1266.859934,2452.2163
2086.443726,1269.562157,2481.0149
2086.422073,1271.512074,2511.8915
2076.269921,1274.301728,2541.6327
2080.796939,1270.071694,2571.7499
2080.044552,1268.044939,2602.0373
2081.230266,1265.712898,2632.1696
858.777851,1092.853611,2662.9704
526.955023,1063.422298,2692.5674
436.3491549,1057.741706,2722.9649
410.9059992,1032.617501,2754.1306
397.2375546,1027.328665,2783.6659
398.1141467,1027.027415,2815.6256
397.8979014,1025.015469,2843.6572
403.3222243,1025.643896,2874.3755
401.6940412,1017.195922,2903.5995
405.386626,1020.922713,2934.139
400.339409,1022.125777,2964.9579
391.2143349,1021.029216,2995.2188
378.633896,1022.585771,3024.7947
379.8005649,1017.181928,3055.0077
379.494347,1016.402171,3085.5929
382.6791716,1015.544914,3115.7787
383.3632005,1016.541907,3145.4247
390.009738,1025.281823,3175.5687
384.2729139,1009.672275,3206.1725
383.9709811,1023.177486,3236.1237
383.806891,1032.00917,3266.6554
377.608459,1025.881369,3296.678
339.5902125,993.6218136,3327.0212
275.4897087,944.5888128,3357.3366
215.5225198,907.0859579,3387.0337
210.0970959,909.2091109,3417.5655
203.656062,895.8568621,3447.7623
206.1172975,887.8010359,3477.9681
200.5371827,892.0832241,3508.1759
209.6505187,912.6445142,3538.0174
204.8988414,901.5513871,3568.2602
213.5918651,907.834695,3598.3792
209.4980541,894.1466767,3629.322
179.9990837,859.9868997,3659.3886
199.1596831,843.6914997,3689.0496
213.242822,859.7865889,3720.8951
235.5652063,872.7109657,3749.5575
242.1088085,888.8346427,3779.8123
222.2784976,875.3170354,3809.485
221.9743869,881.1082102,3839.5232
221.7747866,885.8029579,3870.5866
237.9397383,929.4238628,3901.8653
238.3077795,923.7914864,3931.0897
227.353348,884.68896,3962.6638
208.4475955,839.5495282,3992.2208
213.9298778,834.6835705,4022.5867
211.2635433,820.5054092,4052.0595
210.9018212,810.7271982,4081.7875
208.7846169,814.5782707,4112.7697
194.1640385,816.1671924,4144.4434
195.6995256,820.6025695,4172.6551
192.2656369,820.0907366,4203.8187
196.2411417,824.1832679,4232.7902
194.1491549,814.4724901,4263.5115
197.1570063,814.0417002,4294.2904
195.5220459,799.948564,4323.117
200.0077752,793.2360195,4355.3147
197.506213,784.0737956,4383.5924
194.1085167,783.5532846,4414.8463
333.0716093,765.7694792,4444.3589
369.1695435,756.9407826,4474.4997
379.362463,754.5556735,4504.8077
377.2065219,754.3524717,4535.3419
371.0041559,760.5700413,4565.3355
355.1361657,772.7343629,4595.9227
354.7135299,766.8111279,4625.656
351.6235239,760.7107966,4656.8163
356.8713205,742.9693817,4686.2299
360.8256832,747.6209395,4717.3524
