X,Y,TimeStamp(tracker),MilliSecTimer(system),ArrangedTime
1848.979008,1175.383421,61446150.06,386320.0456,8.0456
1839.124082,1161.149127,61446180.33,386346.3974,34.3974
1812.072167,1139.109616,61446210.44,386376.0801,64.0801
1815.105071,1127.380962,61446240.83,386406.9068,94.9068
1822.146541,1133.012892,61446271.24,386438.0988,126.0988
1852.368129,1169.914714,61446300.71,386466.4562,154.4562
1851.443598,1179.812416,61446331.19,386496.9997,184.9997
1891.351136,1211.246129,61446361.26,386527.464,215.464
2067.23156,1193.155863,61446391.82,386557.9626,245.9626
2075.749761,1180.910636,61446421.7,386588.2545,276.2545
2073.209595,1191.651649,61446451.93,386618.0642,306.0642
2077.592294,1179.252474,61446482.37,386648.8482,336.8482
2078.15482,1160.287775,61446512.6,386680.4099,368.4099
2045.014731,1141.78738,61446542.93,386708.7854,396.7854
2043.653027,1702.783156,61446812.67,386978.2275,666.2275
2238.161006,977.1234045,61446843.98,387009.7164,697.7164
2001.179788,1073.313832,61446874.58,387040.3018,728.3018
2073.602968,1121.349486,61446904.76,387070.5941,758.5941
2106.611776,1145.389025,61446935.03,387101.2512,789.2512
2222.715744,1120.538342,61446965.59,387131.664,819.664
2244.16683,1116.274943,61446996.35,387162.4781,850.4781
2242.269275,1111.188822,61447026.63,387192.9197,880.9197
2280.92888,1143.551033,61447056.79,387223.7552,911.7552
2283.182386,1150.991215,61447086.62,387252.8634,940.8634
2303.939261,1145.46284,61447117.32,387283.1724,971.1724
2304.01422,1128.886357,61447147.81,387314.9589,1002.9589
2279.296135,1113.127017,61447177.18,387343.1209,1031.1209
2279.665889,1127.338532,61447207.14,387373.2962,1061.2962
2281.714553,1142.248162,61447237.34,387403.2866,1091.2866
2296.074794,1169.290905,61447268.03,387433.9638,1121.9638
2296.242769,1169.071279,61447298.09,387463.787,1151.787
2039.69809,1165.968199,61447328.75,387496.071,1184.071
2002.567323,1200.876259,61447358.59,387524.7987,1212.7987
2002.310775,1183.838986,61447388.27,387554.0499,1242.0499
2002.864108,1190.170425,61447418.93,387585.0886,1273.0886
2002.801624,1168.011103,61447449.05,387616.3137,1304.3137
2002.789169,1197.03251,61447479.34,387645.5786,1333.5786
2000.447854,1188.870272,61447509.68,387675.5834,1363.5834
1987.460984,1214.054216,61447539.4,387705.6522,1393.6522
2019.487874,1200.817602,61447569.84,387735.8715,1423.8715
2167.039489,1248.494264,61447600.27,387766.1958,1454.1958
2183.629671,1265.254948,61447630.33,387798.3899,1486.3899
2197.636588,1291.175548,61447660.42,387826.9844,1514.9844
2181.127232,1291.001453,61447690.59,387856.664,1544.664
2176.977753,1290.033228,61447720.92,387886.9,1574.9
2177.909278,1289.157511,61447751.57,387917.8981,1605.8981
2192.049188,1269.82469,61447781.39,387947.6955,1635.6955
2192.378648,1269.360758,61447811.72,387977.5758,1665.5758
1441.479053,1230.24124,61447841.65,388007.5829,1695.5829
