timestamp, action_unit_list, facial_expression
0.0,"[6, 7, 10, 12, 14, 25]",Happy
0.033,"[6, 10, 12, 14, 25]",Happy
0.067,"[6, 10, 12, 14, 25]",Happy
0.1,"[6, 10, 12, 14, 25]",Happy
0.133,"[6, 10, 12, 14, 25]",Happy
0.167,"[6, 10, 12, 14, 25]",Happy
0.2,"[6, 10, 12, 14, 25]",Happy
0.234,"[6, 7, 10, 12, 14, 25]",Happy
0.267,"[6, 7, 10, 12, 14, 25]",Happy
0.3,"[6, 7, 10, 12, 14, 25]",Happy
0.334,"[6, 7, 10, 12, 14, 25]",Happy
0.367,"[6, 7, 10, 12, 14, 25]",Happy
0.4,"[6, 7, 10, 12, 14, 25]",Happy
0.434,"[6, 7, 10, 12, 14, 25]",Happy
0.467,"[6, 7, 10, 12, 14, 25]",Happy
0.501,"[6, 7, 10, 12, 14, 25]",Happy
0.534,"[6, 7, 10, 12, 14, 25]",Happy
0.567,"[6, 7, 10, 12, 14, 25]",Happy
0.601,"[6, 7, 10, 12, 14, 25]",Happy
0.634,"[6, 7, 10, 12, 14, 25]",Happy
0.667,"[6, 7, 10, 12, 14, 25]",Happy
0.701,"[6, 7, 10, 12, 14, 25]",Happy
0.734,"[6, 7, 10, 12, 14, 25, 26]",Happy
0.767,"[6, 7, 10, 12, 14, 25, 26]",Happy
0.801,"[6, 7, 10, 12, 14, 25, 26]",Happy
0.834,"[6, 7, 10, 12, 14, 25, 26]",Happy
0.868,"[6, 7, 10, 12, 14, 25, 26]",Happy
0.901,"[6, 7, 10, 12, 14, 25, 26]",Happy
0.934,"[6, 7, 10, 12, 14, 25, 26]",Happy
0.968,"[6, 7, 10, 12, 14, 25, 26]",Happy
1.001,"[6, 7, 10, 12, 14, 25, 26]",Happy
1.034,"[6, 7, 10, 12, 14, 25, 26]",Happy
1.068,"[6, 7, 10, 12, 14, 25, 26]",Happy
1.101,"[6, 7, 10, 12, 14, 25, 26]",Happy
1.134,"[6, 7, 12, 14, 17, 23, 25, 26]",Happy
1.168,"[6, 7, 12, 14, 17, 23, 25, 26]",Happy
1.201,"[6, 7, 12, 14, 17, 23, 25, 26]",Happy
1.235,"[6, 7, 12, 14, 17, 23, 26]",Contempt
1.268,"[6, 7, 12, 17, 23, 26]",Neutral
1.301,"[6, 7, 12, 17, 23, 26]",Neutral
1.335,"[6, 7, 12, 17, 23, 25, 26]",Happy
1.368,"[6, 7, 12, 17, 23, 25, 26]",Happy
1.401,"[6, 7, 12, 14, 23, 25, 26]",Happy
1.435,"[6, 7, 12, 14, 23, 26]",Contempt
1.468,"[6, 7, 12, 14, 23, 26]",Contempt
1.502,"[6, 7, 12, 14, 17, 23, 26]",Contempt
1.535,"[6, 7, 12, 14, 17, 23, 26]",Contempt
1.568,"[6, 7, 12, 14, 17, 23, 26]",Contempt
1.602,"[6, 7, 12, 14, 17, 23, 26]",Contempt
1.635,"[6, 7, 12, 14, 17, 23, 26]",Contempt
1.668,"[6, 7, 12, 14, 23, 26]",Contempt
1.702,"[6, 7, 12, 14, 26]",Contempt
1.735,"[6, 7, 12, 14, 26]",Contempt
1.768,"[6, 7, 12, 14, 23, 26]",Contempt
1.802,"[6, 7, 12, 23, 26]",Neutral
1.835,"[6, 7, 12, 23, 26]",Neutral
1.869,"[6, 7, 12, 17, 23, 26]",Neutral
1.902,"[6, 7, 12, 17, 23, 26]",Neutral
1.935,"[5, 6, 7, 17, 23, 26]",Neutral
1.969,"[5, 6, 7, 17, 23, 25, 26]",Neutral
2.002,"[5, 6, 7, 17, 23, 25, 26]",Neutral
2.035,"[5, 6, 7, 17, 23, 25, 26]",Neutral
2.069,"[5, 6, 7, 23, 25, 26]",Neutral
2.102,"[5, 6, 7, 25, 26]",Neutral
2.135,"[5, 6, 7, 25, 26]",Neutral
2.169,"[5, 6, 7, 25, 26]",Neutral
2.202,"[5, 6, 7, 25, 26]",Neutral
2.236,"[5, 6, 7, 12, 14]",Contempt
2.269,"[5, 6, 7, 12, 14]",Contempt
2.302,"[5, 6, 7, 12, 14]",Contempt
2.336,"[6, 7, 12, 14]",Contempt
2.369,"[6, 7, 12, 14]",Contempt
2.402,"[6, 7, 12, 14]",Contempt
2.436,"[6, 7, 10, 12, 14, 25]",Happy
2.469,"[6, 7, 10, 12, 14, 25]",Happy
2.503,"[6, 7, 10, 12, 14, 25]",Happy
2.536,"[2, 6, 7, 10, 12, 14, 25]",Happy
2.569,"[1, 2, 6, 7, 10, 12, 14, 25]",Happy
2.603,"[1, 2, 6, 7, 10, 12, 14, 25]",Happy
2.636,"[1, 2, 6, 7, 10, 12, 14, 25]",Happy
2.669,"[1, 2, 6, 7, 10, 12, 14, 25]",Happy
2.703,"[1, 2, 6, 7, 10, 12, 14, 25]",Happy
2.736,"[1, 2, 6, 7, 10, 12, 14, 25]",Happy
2.769,"[1, 2, 6, 7, 10, 12, 14, 25]",Happy
2.803,"[1, 2, 6, 7, 10, 12, 14, 25]",Happy
2.836,"[1, 6, 7, 10, 12, 14, 25]",Happy
2.87,"[1, 6, 7, 10, 12, 14, 25]",Happy
2.903,"[6, 7, 10, 12, 14, 25]",Happy
2.936,"[6, 7, 10, 12, 14, 25]",Happy
2.97,"[6, 7, 10, 12, 14, 25]",Happy
3.003,"[6, 7, 10, 12, 14, 25]",Happy
3.036,"[6, 10, 12, 14, 25]",Happy
3.07,"[6, 10, 12, 14, 25]",Happy
3.103,"[6, 10, 12, 14, 25]",Happy
3.136,"[6, 10, 12, 14, 25]",Happy
