timestamp, action_unit_list, facial_expression
0.0,"[1, 5, 17, 25]",Neutral
0.033,"[1, 2, 5, 17, 25]",Neutral
0.067,"[1, 2, 5, 17, 25]",Neutral
0.1,"[1, 5, 17, 25]",Neutral
0.133,"[1, 5, 17, 25]",Neutral
0.167,"[1, 5, 17, 25]",Neutral
0.2,"[1, 5, 17, 25]",Neutral
0.234,"[1, 5, 17, 25]",Neutral
0.267,"[1, 5, 17, 25]",Neutral
0.3,"[1, 5, 17, 20, 25]",Neutral
0.334,"[1, 5, 17, 20, 25]",Neutral
0.367,"[1, 5, 17, 20, 25]",Neutral
0.4,"[1, 5, 17, 20, 25]",Neutral
0.434,"[1, 5, 17, 20, 25]",Neutral
0.467,"[1, 5, 17, 25]",Neutral
0.501,"[1, 5, 17, 25]",Neutral
0.534,"[1, 5, 17, 25]",Neutral
0.567,"[1, 5, 17, 25]",Neutral
0.601,"[1, 5, 17, 25]",Neutral
0.634,"[1, 5, 17, 25]",Neutral
0.667,"[1, 5, 17, 25]",Neutral
0.701,"[1, 5, 17, 20, 25]",Neutral
0.734,"[1, 5, 17, 20, 25]",Neutral
0.767,"[1, 5, 17, 20, 25]",Neutral
0.801,"[1, 5, 17, 20, 25]",Neutral
0.834,"[1, 5, 17, 20, 25]",Neutral
0.868,"[1, 5, 17, 20, 25]",Neutral
0.901,"[1, 5, 17, 20, 25]",Neutral
0.934,"[1, 5, 17, 20, 25]",Neutral
0.968,"[1, 5, 17, 20, 25]",Neutral
1.001,"[1, 5, 17, 20, 25]",Neutral
1.034,"[1, 5, 12, 17, 20, 25]",Neutral
1.068,"[1, 2, 5, 12, 17, 20, 25]",Neutral
1.101,"[1, 2, 5, 12, 17, 20, 25]",Neutral
1.134,"[1, 2, 5, 12, 17, 20, 25]",Neutral
1.168,"[1, 2, 5, 12, 17, 20, 25]",Neutral
1.201,"[1, 2, 5, 12, 17, 20, 25]",Neutral
1.235,"[1, 2, 5, 12, 17, 20, 25]",Neutral
1.268,"[1, 2, 5, 17, 20, 25]",Neutral
1.301,"[1, 2, 5, 17, 20, 25]",Neutral
1.335,"[1, 2, 5, 17, 20, 25]",Neutral
1.368,"[1, 2, 5, 7, 17, 20, 25]",Neutral
1.401,"[1, 2, 5, 7, 17, 20, 25]",Neutral
1.435,"[1, 2, 5, 7, 17, 20, 25]",Neutral
1.468,"[1, 2, 5, 7, 17, 20, 25]",Neutral
1.502,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.535,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.568,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.602,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.635,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.668,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.702,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.735,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.768,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.802,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.835,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.869,"[1, 2, 4, 5, 7, 17, 20, 25]",Fear
1.902,"[1, 2, 4, 5, 17, 25]",Neutral
1.935,"[1, 2, 4, 5, 17, 25]",Neutral
1.969,"[1, 2, 4, 5, 17, 25]",Neutral
2.002,"[1, 2, 4, 5, 17, 25]",Neutral
2.035,"[1, 2, 4, 5, 17, 25]",Neutral
2.069,"[1, 2, 4, 5, 17, 20, 25]",Neutral
2.102,"[1, 2, 4, 5, 17, 20, 25]",Neutral
2.135,"[1, 2, 4, 5, 17, 20, 25]",Neutral
2.169,"[1, 2, 4, 5, 17, 20, 25]",Neutral
2.202,"[1, 2, 4, 5, 17, 20]",Neutral
2.236,"[1, 2, 4, 5, 17]",Neutral
2.269,"[1, 2, 4, 5, 7, 17]",Neutral
2.302,"[1, 2, 4, 5, 7, 17]",Neutral
2.336,"[1, 2, 4, 5, 7, 17]",Neutral
2.369,"[1, 2, 4, 5, 7, 17]",Neutral
2.402,"[1, 2, 4, 5, 7, 17]",Neutral
2.436,"[1, 2, 4, 5, 7, 17]",Neutral
2.469,"[1, 2, 4, 5, 7, 17]",Neutral
2.503,"[1, 2, 4, 5, 7, 17]",Neutral
2.536,"[1, 2, 4, 5, 7, 17]",Neutral
2.569,"[1, 2, 4, 5, 7, 17]",Neutral
2.603,"[1, 2, 4, 5, 7, 17]",Neutral
2.636,"[1, 2, 4, 5, 7, 17]",Neutral
2.669,"[1, 2, 4, 5, 7, 17]",Neutral
2.703,"[1, 2, 4, 5, 7, 17]",Neutral
2.736,"[1, 2, 4, 5, 7, 17]",Neutral
2.769,"[1, 2, 4, 5, 7, 17]",Neutral
2.803,"[1, 2, 4, 5, 7, 17]",Neutral
2.836,"[1, 2, 4, 5, 7, 17]",Neutral
2.87,"[1, 2, 4, 5, 7, 17]",Neutral
2.903,"[1, 2, 4, 5, 7, 17]",Neutral
2.936,"[1, 2, 4, 5, 7, 17]",Neutral
2.97,"[1, 2, 4, 5, 7, 17]",Neutral
3.003,"[1, 2, 4, 5, 7, 17]",Neutral
3.036,"[1, 2, 4, 5, 7, 17]",Neutral
3.07,"[1, 2, 4, 5, 7, 17]",Neutral
3.103,"[1, 2, 4, 5, 12, 17]",Neutral
3.136,"[1, 2, 4, 5, 12, 17]",Neutral
3.17,"[1, 2, 4, 5, 12, 17]",Neutral
3.203,"[1, 2, 4, 5, 12, 17, 20, 25]",Neutral
3.237,"[1, 2, 4, 5, 12, 17, 20, 25]",Neutral
3.27,"[1, 2, 4, 5, 12, 14, 17, 20, 25]",Contempt
3.303,"[1, 2, 4, 5, 14, 17, 20, 25]",Contempt
3.337,"[1, 2, 4, 5, 14, 17, 20, 25]",Contempt
3.37,"[1, 2, 4, 5, 14, 17, 20, 25]",Contempt
3.403,"[1, 2, 4, 5, 17, 20]",Neutral
3.437,"[1, 2, 4, 5, 17, 20]",Neutral
3.47,"[1, 2, 4, 5, 17, 20]",Neutral
3.504,"[1, 2, 4, 5, 17, 20]",Neutral
3.537,"[1, 2, 4, 5, 17, 20]",Neutral
3.57,"[1, 2, 4, 5, 17, 20]",Neutral
3.604,"[1, 2, 4, 5, 7, 14, 25]",Contempt
3.637,"[1, 2, 4, 5, 7, 14, 25]",Contempt
3.67,"[1, 2, 4, 5, 7, 12, 14, 25]",Contempt
3.704,"[1, 2, 4, 5, 7, 12, 14, 25]",Contempt
3.737,"[1, 2, 4, 5, 7, 12, 14, 25]",Contempt
3.77,"[1, 2, 4, 5, 7, 12, 14]",Contempt
3.804,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
3.837,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
3.871,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
3.904,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
3.937,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
3.971,"[1, 2, 4, 5, 7, 12, 14, 17]",Contempt
4.004,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.037,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.071,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.104,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.137,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.171,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.204,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.238,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.271,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.304,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.338,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.371,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.404,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.438,"[1, 2, 4, 5, 7, 12, 17, 20, 25, 26]",Fear
4.471,"[1, 2, 4, 5, 7, 12, 17, 25, 26]",Neutral
4.505,"[1, 2, 4, 5, 7, 12, 17, 26]",Neutral
4.538,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.571,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.605,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.638,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.671,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.705,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.738,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.771,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.805,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.838,"[1, 2, 4, 5, 7, 12, 17]",Neutral
4.872,"[1, 2, 4, 5, 7, 12, 17]",Neutral
